long,lat,id,plaza,tipo,tipo_norma,materiales,dias_y_horario,cooperativa,calle,altura,calle2,direccion,barrio,comuna,observaciones
-58.4877573473134,-34.5595618078195,36,Plaza Alberdi,Punto Verde Con Atención,punto_verde_con_atencion,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19 hs.,Madreselva,Larralde,0,mariano acha,"LARRALDE, CRISOLOGO AV. y ACHA, MARIANO, GRAL.",Saavedra,Comuna 12,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.5208907158006,-34.6280537555576,38,Plaza Ciudad de Banff,Punto Verde Con Atención,punto_verde_con_atencion,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19 hs.,RUO,Arregui,0,lisboa,ARREGUI AV. y LISBOA,Versalles,Comuna 10,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.468089325886,-34.6104125599157,39,Plaza de Roque Saenz Peña (Pappo),Punto Verde Con Atención,punto_verde_con_atencion,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19 hs.,Amanecer,Remedio de Escalada,0,Boyaca,"ESCALADA DE SAN MARTIN, R. y BOYACA",Villa Gral. Mitre,Comuna 11,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.4914811166312,-34.6024766796329,40,Racing Club Sede Villa del Parque,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,Alamo,Nogoyá,3045,,NOGOYA 3045,Villa Del Parque,Comuna 11,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.4444010760112,-34.5831917274978,41,Mercado de Pulgas,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,Amanecer,Av. Dorrego,0,Av. Niceto Vega,"DORREGO AV. y VEGA, NICETO, CNEL. AV.",Palermo,Comuna 14,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.4578284377231,-34.562484153983306,42,Mercado de Belgrano,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,Madreselva,Juramento,2501,,JURAMENTO AV. 2501,Belgrano,Comuna 13,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.437871707479296,-34.5835483354191,43,Mercado de Bonpland,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,Amanecer,Bonpland,1660,,BONPLAND 1660,Palermo,Comuna 14,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.3922181139494,-34.5997792587847,44,Mercado de San Nicolas,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,Amanecer,Av. Córdoba,1750,,CORDOBA AV. 1750,San Nicolas,Comuna 1,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.3795399508893,-34.6548272315099,45,CMD,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,Aleli,Algarrobo,1041,,ALGARROBO 1041,Barracas,Comuna 4,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.3704812328452,-34.6059248587355,46,Ministerio del Interior,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,Amanecer,Av. Leandro N. Alem,150,,"ALEM, LEANDRO N. AV. 150",San Nicolas,Comuna 1,"Para entregar los materiales, éstos deben estar limpios y secos"
